17:04:11: CPU=3.4%, RAM=10Gi/62Gi, Load=7.24
17:04:42: CPU=99.5%, RAM=12Gi/62Gi, Load=5.63
17:05:13: CPU=90.0%, RAM=13Gi/62Gi, Load=6.58
17:05:43: CPU=93.6%, RAM=13Gi/62Gi, Load=6.78
17:06:14: CPU=34.6%, RAM=9.0Gi/62Gi, Load=6.15
17:06:44: CPU=29.8%, RAM=10Gi/62Gi, Load=3.85
17:07:15: CPU=98.0%, RAM=9.5Gi/62Gi, Load=5.53
17:07:45: CPU=96.9%, RAM=9.5Gi/62Gi, Load=9.74
17:08:16: CPU=96.0%, RAM=9.5Gi/62Gi, Load=11.69
17:08:47: CPU=99.1%, RAM=9.6Gi/62Gi, Load=12.49
17:09:17: CPU=8.2%, RAM=9.6Gi/62Gi, Load=13.54
17:09:48: CPU=99.0%, RAM=9.6Gi/62Gi, Load=13.20
17:10:19: CPU=98.2%, RAM=10Gi/62Gi, Load=13.14
17:10:50: CPU=99.1%, RAM=10Gi/62Gi, Load=12.79
17:11:20: CPU=97.5%, RAM=10Gi/62Gi, Load=13.66
17:11:51: CPU=99.1%, RAM=10Gi/62Gi, Load=13.11
17:12:21: CPU=99.0%, RAM=11Gi/62Gi, Load=12.04
17:12:52: CPU=99.1%, RAM=11Gi/62Gi, Load=13.13
17:13:23: CPU=7.3%, RAM=11Gi/62Gi, Load=13.95
17:13:54: CPU=96.6%, RAM=11Gi/62Gi, Load=13.62
17:14:24: CPU=99.1%, RAM=12Gi/62Gi, Load=12.28
17:14:55: CPU=99.1%, RAM=12Gi/62Gi, Load=13.89
17:15:26: CPU=96.1%, RAM=12Gi/62Gi, Load=13.60
17:15:57: CPU=24.9%, RAM=12Gi/62Gi, Load=14.35
17:16:28: CPU=99.1%, RAM=13Gi/62Gi, Load=11.67
17:16:58: CPU=5.4%, RAM=9.9Gi/62Gi, Load=8.39
17:17:29: CPU=97.7%, RAM=11Gi/62Gi, Load=8.73
17:18:00: CPU=3.9%, RAM=11Gi/62Gi, Load=11.35
17:18:30: CPU=96.7%, RAM=12Gi/62Gi, Load=12.49
17:19:01: CPU=2.9%, RAM=13Gi/62Gi, Load=12.69
17:19:31: CPU=94.5%, RAM=23Gi/62Gi, Load=9.36
17:20:02: CPU=98.2%, RAM=23Gi/62Gi, Load=11.46
17:20:33: CPU=97.7%, RAM=23Gi/62Gi, Load=13.26
17:21:04: CPU=98.4%, RAM=24Gi/62Gi, Load=12.23
17:21:35: CPU=96.9%, RAM=28Gi/62Gi, Load=11.94
17:22:06: CPU=85.7%, RAM=28Gi/62Gi, Load=13.24
17:22:37: CPU=97.2%, RAM=27Gi/62Gi, Load=14.27
17:23:08: CPU=91.8%, RAM=28Gi/62Gi, Load=13.59
17:23:39: CPU=99.0%, RAM=28Gi/62Gi, Load=12.13
17:24:10: CPU=95.2%, RAM=28Gi/62Gi, Load=13.50
17:24:41: CPU=97.7%, RAM=28Gi/62Gi, Load=14.16
17:25:12: CPU=94.1%, RAM=27Gi/62Gi, Load=14.21
17:25:42: CPU=87.0%, RAM=27Gi/62Gi, Load=14.37
17:26:13: CPU=96.5%, RAM=27Gi/62Gi, Load=14.66
17:26:44: CPU=90.7%, RAM=27Gi/62Gi, Load=13.10
17:27:15: CPU=98.6%, RAM=27Gi/62Gi, Load=13.89
17:27:46: CPU=97.9%, RAM=27Gi/62Gi, Load=14.16
17:28:17: CPU=97.3%, RAM=27Gi/62Gi, Load=14.68
17:28:48: CPU=97.7%, RAM=27Gi/62Gi, Load=13.35
17:29:19: CPU=98.6%, RAM=27Gi/62Gi, Load=14.24
17:29:49: CPU=96.4%, RAM=27Gi/62Gi, Load=12.66
17:30:20: CPU=98.2%, RAM=27Gi/62Gi, Load=13.60
17:30:51: CPU=98.7%, RAM=27Gi/62Gi, Load=14.55
17:31:21: CPU=98.6%, RAM=28Gi/62Gi, Load=13.79
17:31:52: CPU=96.2%, RAM=28Gi/62Gi, Load=12.64
17:32:23: CPU=99.1%, RAM=28Gi/62Gi, Load=12.08
17:32:53: CPU=83.5%, RAM=3.2Gi/62Gi, Load=9.49
17:33:24: CPU=96.8%, RAM=13Gi/62Gi, Load=9.42
17:33:55: CPU=99.5%, RAM=17Gi/62Gi, Load=10.09
17:34:26: CPU=97.1%, RAM=17Gi/62Gi, Load=9.68
17:34:57: CPU=97.5%, RAM=17Gi/62Gi, Load=9.13
17:35:27: CPU=98.2%, RAM=18Gi/62Gi, Load=10.73
17:35:58: CPU=93.6%, RAM=18Gi/62Gi, Load=11.56
17:36:29: CPU=88.5%, RAM=20Gi/62Gi, Load=12.72
17:37:00: CPU=96.7%, RAM=20Gi/62Gi, Load=12.89
17:37:30: CPU=84.2%, RAM=22Gi/62Gi, Load=11.29
17:38:01: CPU=99.1%, RAM=25Gi/62Gi, Load=13.24
17:38:32: CPU=97.2%, RAM=25Gi/62Gi, Load=14.21
17:39:03: CPU=97.8%, RAM=25Gi/62Gi, Load=14.08
17:39:33: CPU=21.7%, RAM=21Gi/62Gi, Load=13.69
17:40:04: CPU=99.1%, RAM=26Gi/62Gi, Load=13.48
17:40:35: CPU=85.7%, RAM=26Gi/62Gi, Load=14.02
17:41:06: CPU=99.1%, RAM=23Gi/62Gi, Load=13.88
17:41:36: CPU=95.8%, RAM=22Gi/62Gi, Load=12.68
17:42:07: CPU=37.5%, RAM=23Gi/62Gi, Load=10.66
17:42:38: CPU=94.6%, RAM=12Gi/62Gi, Load=9.02
17:43:09: CPU=99.1%, RAM=12Gi/62Gi, Load=8.51
17:43:39: CPU=97.8%, RAM=12Gi/62Gi, Load=10.62
17:44:10: CPU=61.0%, RAM=15Gi/62Gi, Load=10.94
17:44:41: CPU=43.5%, RAM=12Gi/62Gi, Load=10.52
17:45:12: CPU=99.1%, RAM=13Gi/62Gi, Load=10.08
17:45:43: CPU=99.1%, RAM=14Gi/62Gi, Load=8.36
17:46:14: CPU=25.7%, RAM=14Gi/62Gi, Load=8.77
17:46:44: CPU=93.9%, RAM=13Gi/62Gi, Load=6.16
17:47:15: CPU=99.1%, RAM=15Gi/62Gi, Load=6.87
17:47:45: CPU=74.3%, RAM=15Gi/62Gi, Load=6.83
17:48:16: CPU=94.4%, RAM=17Gi/62Gi, Load=5.25
17:48:47: CPU=30.0%, RAM=16Gi/62Gi, Load=5.96
17:49:18: CPU=99.1%, RAM=18Gi/62Gi, Load=7.27
17:49:48: CPU=98.3%, RAM=19Gi/62Gi, Load=6.28
17:50:19: CPU=94.1%, RAM=20Gi/62Gi, Load=8.08
17:50:50: CPU=99.1%, RAM=16Gi/62Gi, Load=5.92
17:51:21: CPU=97.1%, RAM=18Gi/62Gi, Load=7.86
17:51:52: CPU=87.6%, RAM=19Gi/62Gi, Load=7.12
17:52:23: CPU=98.7%, RAM=19Gi/62Gi, Load=8.61
17:52:53: CPU=98.6%, RAM=16Gi/62Gi, Load=8.68
17:53:24: CPU=98.6%, RAM=17Gi/62Gi, Load=9.57
17:53:55: CPU=98.6%, RAM=18Gi/62Gi, Load=8.65
17:54:26: CPU=99.1%, RAM=20Gi/62Gi, Load=11.24
17:54:57: CPU=99.1%, RAM=16Gi/62Gi, Load=11.16
17:55:28: CPU=42.1%, RAM=16Gi/62Gi, Load=8.95
17:55:59: CPU=30.0%, RAM=13Gi/62Gi, Load=9.86
17:56:30: CPU=88.9%, RAM=14Gi/62Gi, Load=8.23
17:57:00: CPU=98.5%, RAM=15Gi/62Gi, Load=9.30
17:57:32: CPU=94.1%, RAM=17Gi/62Gi, Load=7.51
17:58:02: CPU=98.5%, RAM=15Gi/62Gi, Load=8.55
17:58:33: CPU=99.1%, RAM=17Gi/62Gi, Load=5.46
17:59:04: CPU=17.3%, RAM=18Gi/62Gi, Load=5.33
17:59:35: CPU=99.1%, RAM=18Gi/62Gi, Load=6.62
18:00:05: CPU=74.8%, RAM=15Gi/62Gi, Load=6.26
18:00:36: CPU=41.1%, RAM=17Gi/62Gi, Load=5.76
18:01:06: CPU=99.1%, RAM=14Gi/62Gi, Load=5.82
18:01:37: CPU=98.6%, RAM=16Gi/62Gi, Load=6.47
18:02:09: CPU=99.1%, RAM=16Gi/62Gi, Load=4.77
18:02:39: CPU=98.2%, RAM=17Gi/62Gi, Load=5.13
18:03:10: CPU=93.3%, RAM=19Gi/62Gi, Load=4.85
18:03:41: CPU=17.0%, RAM=17Gi/62Gi, Load=5.68
18:04:12: CPU=90.0%, RAM=15Gi/62Gi, Load=8.11
